base_keyword,paraphrase
Đặt vé máy bay,2. Đặt chỗ trên máy bay
Đặt vé máy bay,3. Săn vé máy bay
Đặt vé tàu,1. Mua vé tàu
Đặt vé tàu,2. Đặt chỗ trên tàu
Đặt vé tàu,3. Săn vé tàu
Đặt vé xe,1. Mua vé xe
Đặt vé xe,2. Đặt chỗ trên xe
Đặt vé xe,3. Săn vé xe
Đặt xe liên tỉnh,1. **Đặt vé xe đi tỉnh**: Câu này thường được sử dụng khi bạn muốn đặt vé xe để đi từ thành phố này sang tỉnh khác
Đặt xe liên tỉnh,2. **Đặt xe đi tỉnh**: Câu này đơn giản và trực tiếp thể hiện hành động đặt xe để đi từ nơi này sang tỉnh khác
Đặt xe liên tỉnh,"3. **Đặt phương tiện liên tỉnh**: Câu này mang tính chất trang trọng hoặc chuyên nghiệp hơn, thường được sử dụng trong môi trường kinh doanh hoặc dịch vụ vận tải"
