keyword,expected,actual,is_hit,case_type
Thanh toasn hosa ddown,Thanh toán hóa đơn,Thanh toán hóa đơn,True,typo_unikey
Thanh toan khoan vay,Thanh toán khoản vay,Thanh toán khoản vay,True,no_diacritics
Thanh toán khoản vay,Thanh toán khoản vay,Thanh toán khoản vay,True,original
Trả nợ vay,Thanh toán khoản vay,Ví trả sau,False,synonym
Thanh toasn khoarn vay,Thanh toán khoản vay,Thanh toán khoản vay,True,typo_unikey
Thanh toan tai loc 68 - amity,Thanh toán tài lộc 68 - amity,Thanh toán tài lộc 68 - amity,True,no_diacritics
Thanh toán tài lộc 68 - amity,Thanh toán tài lộc 68 - amity,Thanh toán tài lộc 68 - amity,True,original
Dịch vụ thanh toán tài lộc 68 của Amity,Thanh toán tài lộc 68 - amity,Thanh toán tài lộc 68 - amity,True,synonym
Thanh toasn tafi lộc 68 - amity,Thanh toán tài lộc 68 - amity,Thanh toán tài lộc 68 - amity,True,typo_unikey
Thue xe tu lai,Thuê xe tự lái,Thuê xe tự lái,True,no_diacritics
Thuê xe tự lái,Thuê xe tự lái,Thuê xe tự lái,True,original
trả tiền xe theo ngày,Thuê xe tự lái,Đặt xe liên tỉnh,False,synonym
Thuee xe tự lasi,Thuê xe tự lái,Thuê xe tự lái,True,typo_unikey
The thao - Giai tri,Thể thao - Giải trí,Thể thao - Giải trí,True,no_diacritics
Thể thao - Giải trí,Thể thao - Giải trí,Thể thao - Giải trí,True,original
dịch vụ giải trí và thể thao,Thể thao - Giải trí,Thể thao - Giải trí,True,synonym
Theer thao - Giari tris,Thể thao - Giải trí,Thể thao - Giải trí,True,typo_unikey
Tien dien,Tiền điện,Tiền điện,True,no_diacritics
Tiền điện,Tiền điện,Tiền điện,True,original
Chi phí điện,Tiền điện,Phí chung cư,False,synonym
Tiền ddiện,Tiền điện,Tiền điện,True,typo_unikey
Top up Data,Top up Data,Top up Data,True,no_diacritics
Bổ sung dung lượng,Top up Data,Thanh toán bảo hiểm,False,synonym
Top up Data,Top up Data,Top up Data,True,typo_unikey
Tang qua,Tặng quà,Tặng quà,True,no_diacritics
Tặng quà,Tặng quà,Tặng quà,True,original
Trao quà,Tặng quà,Quà của tôi,False,synonym
tawngj quaf,Tặng quà,Tặng quà,True,typo_unikey
Tang qua ban be,Tặng quà bạn bè,Tặng quà bạn bè,True,no_diacritics
Tặng quà bạn bè,Tặng quà bạn bè,Tặng quà bạn bè,True,original
Tặng quà cho người bạn.,Tặng quà bạn bè,Tặng quà bạn bè,True,synonym
Tặng quaf bajn bef,Tặng quà bạn bè,Tặng quà,False,typo_unikey
VNPAY Taxi,VNPAY Taxi,VNPAY Taxi,True,no_diacritics
Taxi VNPAY,VNPAY Taxi,VNPAY Taxi,True,synonym
VNPAY Taxi,VNPAY Taxi,VNPAY Taxi,True,typo_unikey
VNPAY-QR,VNPAY-QR,VNPAY-QR,True,no_diacritics
Phép thanh toán VNPAY qua mã QR,VNPAY-QR,Thanh toán khoản vay,False,synonym
VNPAY-QR,VNPAY-QR,VNPAY-QR,True,typo_unikey
VNPAY-QR gan đay,VNPAY-QR gần đây,VNPAY-QR gần đây,True,no_diacritics
VNPAY-QR gần đây,VNPAY-QR gần đây,VNPAY-QR gần đây,True,original
Thông tin cập nhật VNPAY-QR,VNPAY-QR gần đây,VNPAY-QR,False,synonym
VNPAY-QR ganaf ddaay,VNPAY-QR gần đây,VNPAY-QR gần đây,True,typo_unikey
VNPT Media,VNPT Media,VNPT Media,True,no_diacritics
Media của VNPT,VNPT Media,VNPT Media,True,synonym
VNPT Media,VNPT Media,VNPT Media,True,typo_unikey
VNSKY,VNSKY,VNSKY,True,no_diacritics
[],VNSKY,Internet,False,synonym
VNSKY,VNSKY,VNSKY,True,typo_unikey
Vay Nhanh,Vay Nhanh,Vay Nhanh,True,no_diacritics
"""Vay Tiền Nhanh"", ""Vay Online Nhanh"", ""Vay Dễ Dàng""",Vay Nhanh,Vay Nhanh,True,synonym
Vay Nhanh,Vay Nhanh,Vay Nhanh,True,typo_unikey
Vay tieu dung,Vay tiêu dùng,Vay tiêu dùng,True,no_diacritics
Vay tiêu dùng,Vay tiêu dùng,Vay tiêu dùng,True,original
Vay tiền mặt,Vay tiêu dùng,Vay tiêu dùng,True,synonym
Vay tieeu dufng,Vay tiêu dùng,Vay tiêu dùng,True,typo_unikey
VnShop,VnShop,VnShop,True,no_diacritics
Vn mua sắm trực tuyến,VnShop,Ví trả sau,False,synonym
VnShop,VnShop,VnShop,True,typo_unikey
VnShop,VnShop,VnShop,True,original
Ve tau,Vé tàu,Vé tàu,True,no_diacritics
Vé tàu,Vé tàu,Vé tàu,True,original
Thẻ tàu,Vé tàu,Vé tàu,True,synonym
Ves tafu,Vé tàu,Vé tàu,True,typo_unikey
Ve xem phim,Vé xem phim,Vé xem phim,True,no_diacritics
Vé xem phim,Vé xem phim,Vé xem phim,True,original
Tấm vé điện ảnh,Vé xem phim,Tiền điện,False,synonym
Ves xem phim,Vé xem phim,Vé xem phim,True,typo_unikey
Vi tra sau,Ví trả sau,Ví trả sau,True,no_diacritics
Ví trả sau,Ví trả sau,Ví trả sau,True,original
Thanh toán trả sau qua ví,Ví trả sau,Ví trả sau,True,synonym
Vis trar sau,Ví trả sau,Ví trả sau,True,typo_unikey
e-Gift,e-Gift,e-Gift,True,no_diacritics
Quà tặng điện tử,e-Gift,Tặng quà,False,synonym
e-Gift,e-Gift,e-Gift,True,typo_unikey
e-Gift,e-Gift,e-Gift,True,original
e-Voucher,e-Voucher,e-Voucher,True,original
e-Voucher,e-Voucher,e-Voucher,True,no_diacritics
Voucher trực tuyến,e-Voucher,e-Voucher,True,synonym
e-Voucher,e-Voucher,e-Voucher,True,typo_unikey
ePass - Thu phi khong dung,ePass - Thu phí không dừng,ePass - Thu phí không dừng,True,no_diacritics
ePass - Thu phí không dừng,ePass - Thu phí không dừng,ePass - Thu phí không dừng,True,original
Thu phí không dừng với ePass,ePass - Thu phí không dừng,ePass - Thu phí không dừng,True,synonym
ePass - Thu phis khoong dừng,ePass - Thu phí không dừng,ePass - Thu phí không dừng,True,typo_unikey
Đien thoai co đinh 01,Điện thoại cố định 01,Điện thoại cố định 01,True,no_diacritics
Điện thoại cố định 01,Điện thoại cố định 01,Điện thoại cố định 01,True,original
Số điện thoại cố định chính,Điện thoại cố định 01,Điện thoại cố định 01,True,synonym
Điện thoaji cố ddijnh 01,Điện thoại cố định 01,Điện thoại cố định 01,True,typo_unikey
Đat hoa,Đặt hoa,Đặt hoa,True,no_diacritics
Đặt hoa,Đặt hoa,Đặt hoa,True,original
Mua hoa,Đặt hoa,Mua mã thẻ,False,synonym
ddawjt hoa,Đặt hoa,Đặt hoa,True,typo_unikey
dat san Golf,Đặt sân Golf,Đặt sân Golf,True,no_diacritics
Đặt sân Golf,Đặt sân Golf,Đặt sân Golf,True,original
Đặt lịch chơi Golf,Đặt sân Golf,Đặt sân Golf,True,synonym
ddawjt saan Golf,Đặt sân Golf,Đặt sân Golf,True,typo_unikey
dat ve may bay,Đặt vé máy bay,Đặt vé máy bay,True,no_diacritics
Đặt vé máy bay,Đặt vé máy bay,Đặt vé máy bay,True,original
Đặt chỗ trên máy bay,Đặt vé máy bay,Đặt vé máy bay,True,synonym
ddawjt ves masy bay,Đặt vé máy bay,Đặt vé máy bay,True,typo_unikey
dat ve tau,Đặt vé tàu,Đặt vé tàu,True,no_diacritics
Đặt vé tàu,Đặt vé tàu,Đặt vé tàu,True,original
Săn vé tàu,Đặt vé tàu,Vé tàu,False,synonym
ddawjt ves tafu,Đặt vé tàu,LuckyBest,False,typo_unikey
dat ve xe,Đặt vé xe,Đặt vé xe,True,no_diacritics
Đặt vé xe,Đặt vé xe,Đặt vé xe,True,original
Mua vé xe,Đặt vé xe,Đặt vé xe,True,synonym
ddawjt ves xe,Đặt vé xe,Đặt vé xe,True,typo_unikey
dat xe lien tinh,Đặt xe liên tỉnh,Đặt xe liên tỉnh,True,no_diacritics
Đặt xe liên tỉnh,Đặt xe liên tỉnh,Đặt xe liên tỉnh,True,original
Đặt vé xe đi tỉnh,Đặt xe liên tỉnh,Đặt xe liên tỉnh,True,synonym
ddawjt xe lieen tirnh,Đặt xe liên tỉnh,Đặt xe liên tỉnh,True,typo_unikey
Top up Data  ,Top up Data,Top up Data,True,original
Internet  ,Internet,Internet,True,original
VNPT Media  ,VNPT Media,VNPT Media,True,original
Dealtoday  ,Dealtoday,Dealtoday,True,original
Taxi  ,Taxi,Taxi,True,original
Data 3G/4G  ,Data 3G/4G,Data 3G/4G,True,original
VNPAY-QR  ,VNPAY-QR,VNPAY-QR,True,original
VNSKY  ,VNSKY,VNSKY,True,original
VNPAY Taxi  ,VNPAY Taxi,VNPAY Taxi,True,original
Vay Nhanh  ,Vay Nhanh,Vay Nhanh,True,original
LuckyBest  ,LuckyBest,LuckyBest,True,original
