word1,word2,label
ngữ_cảnh,văn_cảnh,1.0
bón,tẩm,0.0
thảm,thê_thảm,1.0
mệt_mỏi,mỏi_mệt,1.0
tắc_nghẽn,thông_suốt,0.0
trọng,coi_trọng,1.0
đẽo,bắt,0.0
len_lách,len_lỏi,1.0
vòng_tay,trang_sức,1.0
kín,phát,0.0
cuối,đầu,0.0
định_kì,bất_thường,0.0
thiện_chí,ác_ý,0.0
biên_cương,biên_giới,1.0
tím,bẹp,0.0
đỡ_đần,suy_xét,0.0
bầm,mệ,1.0
giở_quẻ,giở_chứng,1.0
nhau,rau,1.0
đồng_tình,phản_đối,0.0
điệu,háo,0.0
tử_trận,tiếp_sức,0.0
trù_dập,trù_úm,1.0
vững_tâm,vững_lòng,1.0
cũ_rích,mới_mẻ,0.0
lành,kẹt,0.0
tù,ngục,1.0
dày_cộp,mỏng_tang,0.0
cây_trồng,thầy_thuốc_nhân_dân,0.0
dáng_bộ,dáng_điệu,1.0
tự_do,phần_cứng,0.0
cắt,tẩm,0.0
ăn_nhậu,nhậu_nhẹt,1.0
gắn_kết,liên_kết,1.0
an_dưỡng,tĩnh_dưỡng,1.0
di_chuyển,dời,1.0
ngoài,trong,0.0
cặp,đôi,1.0
chiến_tranh,hoà_bình,0.0
đau_đớn,làm_phiền,1.0
mô_hình,cấu_trúc,1.0
mạo_danh,lừa_đảo,1.0
sếp,lãnh_đạo,1.0
hỏi,đáp,0.0
chuệch_choạc,chệch_choạc,1.0
dương_gian,âm_phủ,0.0
giải_thích,ngấm,0.0
mách,mách_nước,1.0
nước_lớn,xuất_xứ,0.0
dận,nhấn,1.0
hơi_hướng,hơi_hám,0.0
cắt_giảm,trừ_khử,0.0
túm_tụm,quần_tụ,1.0
giở_mặt,lật_lọng,1.0
phân_chia,phân_bổ,1.0
xâm_nhập,xuyên,1.0
cư_dân,người_dân,1.0
khoan_thai,ung_dung,1.0
lạc_hậu,tiên_tiến,0.0
chọc_ghẹo,biếu_xén,0.0
sư_tử,lăng_kính,0.0
bẫy,cạm,1.0
nhảy_múa,nhẩy_múa,1.0
minh_oan,phá_vây,0.0
nguyên_nhân,nguyên_do,1.0
dữ,hiền,0.0
phần_phụ,bộ_phận,1.0
anh_dũng,dũng_mãnh,1.0
khấp_khểnh,gập_ghềnh,1.0
yểm_hộ,yểm_trợ,1.0
dị_ứng,lương_tri,0.0
trẩy_hội,ứng_chiến,0.0
vặn,vặn_vẹo,1.0
chê,khen,0.0
tượng_đài,bảng_tổng_sắp,0.0
thiện_cảm,ác_cảm,0.0
tượng_đài,phân_bón,0.0
nạc,búi,0.0
khung_thành,cầu_môn,1.0
kĩ,sơ_sài,0.0
buồn,vui,0.0
nhược_điểm,ưu_điểm,0.0
bừa_bãi,gọn_ghẽ,0.0
nhà_thơ,thi_nhân,1.0
địch,ta,0.0
lưu_thông,ách_tắc,0.0
thứ_yếu,rộng_rãi,0.0
rỗi,rỗi_rãi,1.0
tái_phát,nhiễm_khuẩn,0.0
hạn_hán,lụt_lội,0.0
lưỡng_lự,dứt_khoát,0.0
giầu,khó,0.0
ban_mai,sớm_mai,1.0
quỳ,ví,0.0
bại_lộ,lộ,1.0
tính_cách,phẩm_chất,1.0
cõi_dương,cõi_âm,0.0
cõi_tục,trần_gian,1.0
khử_trùng,sát_trùng,1.0
